complaint_id,forum,date,rating,complaint_type,category,complaint_text,url
26,PissedConsumer (consumer-complaint forum),7/17/2026,,other,general,"I am ordering something from my Blinkit wallet. Payment is not happening. Please, I am very urgent. Put my money in my account",https://blinkit.pissedconsumer.com/review.html?page=2
27,PissedConsumer (consumer-complaint forum),7/17/2026,,refund_and_support,general,I paid 745 Rs. I want to get back my money. Please call me to solve the problem and to get my money back.,https://blinkit.pissedconsumer.com/review.html?page=2
28,PissedConsumer (consumer-complaint forum),7/17/2026,,other,general,Need clarification on 12 Feb n 2 Feb bill order id is different coming while downloading the invoice and on mobile when made the payment,https://blinkit.pissedconsumer.com/review.html?page=2
29,PissedConsumer (consumer-complaint forum),7/17/2026,,other,general,No manufacturing date and expiry date on the product. I hv ordered Saffola oats gold amounting to Rs 330/- Product delivered is old one.,https://blinkit.pissedconsumer.com/review.html?page=2
30,PissedConsumer (consumer-complaint forum),7/17/2026,,other,home_cleaning,The liquid detergent Which I ordered is opened and only half liquid is filled in it. If possible plz issue me the new packed product,https://blinkit.pissedconsumer.com/review.html?page=3
31,PissedConsumer (consumer-complaint forum),7/17/2026,,other,general,Yesterday I order from blinkit but I can't receive ghee I payfull amount but 1 item is missing from my oder,https://blinkit.pissedconsumer.com/review.html?page=3
32,PissedConsumer (consumer-complaint forum),7/16/2026,,other,general,I will add money in blinkit aap but not place order in this ap there show opps please solve this issue,https://blinkit.pissedconsumer.com/review.html?page=3
33,PissedConsumer (consumer-complaint forum),7/16/2026,,refund_and_support,general,How to connect with customer care executive. I want the money refund for the rotten brocolli. As it was not fit to taste and smell,https://blinkit.pissedconsumer.com/review.html?page=3
34,PissedConsumer (consumer-complaint forum),7/16/2026,,delivery_issues,general,"Misbehave your delivery partner. At the time of doorstep, please improve your services. Thanks. Waiting for your reply, please.",https://blinkit.pissedconsumer.com/review.html?page=3
35,PissedConsumer (consumer-complaint forum),7/16/2026,,other,general,I am a blinkit OD captain i want to contact the blinkit team of issues facing by OD captain in STORE,https://blinkit.pissedconsumer.com/review.html?page=3
36,PissedConsumer (consumer-complaint forum),7/16/2026,,other,general,"From one month, I am not getting cash-on-delivery service. I don't want to pay online. That's why I avoid using Blinkit.",https://blinkit.pissedconsumer.com/review.html?page=3
37,PissedConsumer (consumer-complaint forum),7/16/2026,,other,general,Please my cash on delivery is not available at blinkit please open it i am facing problem for 4 months,https://blinkit.pissedconsumer.com/review.html?page=3
38,PissedConsumer (consumer-complaint forum),7/16/2026,,refund_and_support,general,"I have ordered a glue on 6th July and paid, and my payment went through, but the order did not succeed. It showed that I would receive a refund around 11th July, but it did not come.",https://blinkit.pissedconsumer.com/review.html?page=3
39,PissedConsumer (consumer-complaint forum),7/16/2026,,other,general,"Original review updated Jul 16, 2026",https://blinkit.pissedconsumer.com/review.html?page=3
40,PissedConsumer (consumer-complaint forum),7/16/2026,,other,general,Dear sir Mai present Time me Bhiwandi Alwar Rajasthan me rahta hu. Please Change location Bhiwandi Ashiyana Village ES8,https://blinkit.pissedconsumer.com/review.html?page=3
41,PissedConsumer (consumer-complaint forum),7/16/2026,,refund_and_support,general,"Order items worth aprox. 1200rs, refunded them as the delivery boy dropped the items. I then requested a refund and they said the money has been refunded, yet I didn't receive ANYTHING! They also removed the order from my order list so I can't even get the order ID anymore. Really frustrating.",https://blinkit.pissedconsumer.com/review.html?page=3
42,PissedConsumer (consumer-complaint forum),7/16/2026,,product_quality,general,"Repeatedly receiving spoiled, same-day expiry milk. Unacceptable quality and service. Stop delivering same-day expiry spoiled milk. Serious food safety concern. Received curdled milk again on expiry day. Improve quality checks immediately. Same-day expiry, spoiled milk every time. Very poor quality control by Blinkit. Repeated spoiled milk deliveries. This is a serious food safety issue.",https://blinkit.pissedconsumer.com/review.html?page=3
43,PissedConsumer (consumer-complaint forum),7/15/2026,,product_quality,groceries_fresh,"On opening the pack, there was a rush of smell: rotten meat. Need more quality control. It's not an achievement to supply in 8 minutes. Quality control is paramount.",https://blinkit.pissedconsumer.com/review.html?page=3
44,PissedConsumer (consumer-complaint forum),7/15/2026,,other,general,"Hi, I am pleased that the order amount is 210. Payment is done, but the order is not placed and the amount is not refunded.",https://blinkit.pissedconsumer.com/review.html?page=4
45,PissedConsumer (consumer-complaint forum),7/15/2026,,refund_and_support,general,I ordered 1 coocockola 300 ml But order not received this application showing already delivered how to possible I want clarification this order Otherwise I want refund my amount,https://blinkit.pissedconsumer.com/review.html?page=4
46,PissedConsumer (consumer-complaint forum),7/15/2026,,refund_and_support,general,"1. Wrong items delivered and taken back, but refund/right item not given. 2. Two items not delivered, and refund not given.",https://blinkit.pissedconsumer.com/review.html?page=4
47,PissedConsumer (consumer-complaint forum),7/15/2026,,other,electronics,My order is earbuds biy i have received oneplus charger i need items on this plz how i can trust blinkit,https://blinkit.pissedconsumer.com/review.html?page=4
48,PissedConsumer (consumer-complaint forum),7/15/2026,,other,general,"This payment method is not available at the moment problem I am facing this problem, please fix it quickly.",https://blinkit.pissedconsumer.com/review.html?page=4
49,PissedConsumer (consumer-complaint forum),7/15/2026,,refund_and_support,general,"There is no manufacturing date or expiry date on this product, so I cant use it. Please replace it or issue a refund",https://blinkit.pissedconsumer.com/review.html?page=4
50,PissedConsumer (consumer-complaint forum),7/15/2026,,refund_and_support,general,"Customer complaint option not show, and call not respond, pls return my money. I hope you understand my concern.",https://blinkit.pissedconsumer.com/review.html?page=4
51,PissedConsumer (consumer-complaint forum),7/15/2026,,other,groceries_fresh,"Yesterday I ordered 5 kg rice but not yet delivered. I complained through mail, however not yet resolved",https://blinkit.pissedconsumer.com/review.html?page=4
52,PissedConsumer (consumer-complaint forum),7/15/2026,,refund_and_support,general,"I have ordered one thing and I have paid online, but the order has been canceled, and the money hasn't been refunded. It has been nearly 2 weeks, so the refund has not yet been received, and I want.",https://blinkit.pissedconsumer.com/review.html?page=4
53,PissedConsumer (consumer-complaint forum),7/15/2026,,other,general,"Dear Sir, my ID has not been verified for 2 days. Please help me. ID No. FE1031**** Name: Ajay Pratap Chaudhary Branch: Basti, PIN 272002",https://blinkit.pissedconsumer.com/review.html?page=4
54,PissedConsumer (consumer-complaint forum),7/15/2026,,other,general,I have an issue regarding my delivery. I asked the robot that I wanted to speak to a live agent. No reply.,https://blinkit.pissedconsumer.com/review.html?page=4
55,PissedConsumer (consumer-complaint forum),7/15/2026,,refund_and_support,general,I did not get refund for two products. Two products that were highly unusable. Coupons issued were also not useful,https://blinkit.pissedconsumer.com/review.html?page=4
56,PissedConsumer (consumer-complaint forum),7/15/2026,,other,general,"I want to return my order, and I want to buy something else, but I didn't find any return process on the app. Kindly please arrange a call or return pickup process; it's urgent.",https://blinkit.pissedconsumer.com/review.html?page=4
57,PissedConsumer (consumer-complaint forum),7/15/2026,,product_quality,general,"Got a damaged umbrella, unable to close. When we are not able to close it, it is very difficult to use. Need replacement urgently.",https://blinkit.pissedconsumer.com/review.html?page=4
58,PissedConsumer (consumer-complaint forum),7/15/2026,,other,general,I was unable to change my work as part time and full time and also unable to change my location . And got stuck in this .,https://blinkit.pissedconsumer.com/review.html?page=4
59,PissedConsumer (consumer-complaint forum),7/15/2026,,other,pet,On 8th July 2026 i ordered Royal Canin Adult cat food Rs.609 & instead of that i received Royal Canin Kitten Cat food Rs.585. It was raining on that time till late evening. i tried to call also msgs to blinkit but did not get any response . This is the issue .,https://blinkit.pissedconsumer.com/review.html?page=5
60,PissedConsumer (consumer-complaint forum),7/15/2026,,delivery_issues,general,"My husband booked a washing machine drum clean tablet for online payment, but I am mistaken for the delivery boy to take cash.",https://blinkit.pissedconsumer.com/review.html?page=5
61,PissedConsumer (consumer-complaint forum),7/15/2026,,other,general,"Two transactions are showing, but I received one amount of 1413 Rs, and the other 727 Rs has not been received in the bank account or not in the message.",https://blinkit.pissedconsumer.com/review.html?page=5
62,PissedConsumer (consumer-complaint forum),7/15/2026,,other,snacks_beverages,"Ice pad required with ice cream. Ordered without ice pad, ice cream melted badly. I am ordering in bulk.",https://blinkit.pissedconsumer.com/review.html?page=5
63,PissedConsumer (consumer-complaint forum),7/15/2026,,delivery_issues,general,Dear i am rider of blink it delivery i need to change my register mobile number with blink it. Very urgent,https://blinkit.pissedconsumer.com/review.html?page=5
64,PissedConsumer (consumer-complaint forum),7/14/2026,,other,general,Mera city chenge nhi ho pa Raha hai mai pahale hariyana me id banaya tha or ab mai chandigarh me rahata hu or Mai wahi par kam kana chahta hu,https://blinkit.pissedconsumer.com/review.html?page=5
65,PissedConsumer (consumer-complaint forum),7/14/2026,,other,snacks_beverages,Received order from bkinkit just now and find Coke bottle open quantity is a little lower than usual. Please change the bottle accordingly...,https://blinkit.pissedconsumer.com/review.html?page=5
66,PissedConsumer (consumer-complaint forum),7/14/2026,,refund_and_support,general,"I got 2 unsealed items which I returned and got a message for a refund, but nothing has been received in my bank. Unable to chat with a live person. Initially, I received damaged/about to expire products, and now the refund has not been received after 2-3 weeks.",https://blinkit.pissedconsumer.com/review.html?page=5
67,PissedConsumer (consumer-complaint forum),7/14/2026,,other,general,Service was not good.. Change lekunda service ala chesthunnaru.. Immediately cal cheyali number ledu. Nenu e app delete chusthunnanu,https://blinkit.pissedconsumer.com/review.html?page=5
68,PissedConsumer (consumer-complaint forum),7/14/2026,,refund_and_support,general,"I received a defective product. The socket is not working properly and the quality is not as expected. I checked it after delivery, but it appears faulty and cannot be used safely. I request a return and a full refund or replacement at the earliest. Please process my request as soon as possible. Thank you.",https://blinkit.pissedconsumer.com/review.html?page=5
69,PissedConsumer (consumer-complaint forum),7/14/2026,,other,electronics,Power Bank not working please change my product is not working anymore trying in my house in and office also please exchange that product,https://blinkit.pissedconsumer.com/review.html?page=5
70,PissedConsumer (consumer-complaint forum),7/13/2026,,other,general,"Updated by user Jul 13, 2026",https://blinkit.pissedconsumer.com/review.html?page=5
71,PissedConsumer (consumer-complaint forum),7/13/2026,,refund_and_support,general,Purchase a 4 step stair amount 2599 when I recived my order then I show product size to much low and quality issue not for usable. Now I'm requesting to refund return blinkit customer care say return not possible now my 2599 amount west and not for usable product for me please resolve my issue and do the needful help,https://blinkit.pissedconsumer.com/review.html?page=5
72,PissedConsumer (consumer-complaint forum),7/13/2026,,other,general,Mere ko waha order marne nahi diya ja raha hai Mai manager se baat Kiya to mere ko o bol rahe hai aap mere ko letter likhkar do,https://blinkit.pissedconsumer.com/review.html?page=5
73,PissedConsumer (consumer-complaint forum),7/13/2026,,refund_and_support,general,Maine order Kiya tha vo alerdy delevered huva but maine nahi liya badme vo delevery karne aye but unko mera adress nahi mila to unhone bola cancel karta hu refund milega apko cancel karne ke bad bhi refund nahi mila,https://blinkit.pissedconsumer.com/review.html?page=5
74,PissedConsumer (consumer-complaint forum),7/13/2026,,refund_and_support,general,I team not working please return and refund please help me please back my money .. this is my contact number 912388**** order id ORD145********,https://blinkit.pissedconsumer.com/review.html?page=6
75,PissedConsumer (consumer-complaint forum),7/11/2026,,wrong_or_missing_item,general,Money debited order not received call me 630215**** Call me 630215**** Money debited order not received,https://blinkit.pissedconsumer.com/review.html?page=6
76,PissedConsumer (consumer-complaint forum),7/11/2026,,other,electronics,I ordered hammer earbuds from your app and I received that but I didnt open that box on that time after i reached home i opened it and there is an rock inside earbuds box,https://blinkit.pissedconsumer.com/review.html?page=6
77,PissedConsumer (consumer-complaint forum),7/11/2026,,refund_and_support,general,I get one expired item this is very bad thing blinkit cheat there customers I call blinkit so they don't give reply Send message to me that your item is Out of stock and do not give me money of that item my order placed by Name:Jatin time: 4:30 pm at evening so take care of your items before order,https://blinkit.pissedconsumer.com/review.html?page=6
78,PissedConsumer (consumer-complaint forum),7/11/2026,,delivery_issues,groceries_fresh,Me blinkit ka rider hu mai wallets me 542 pese dal tha lekin orders nahi le rha hai our nahi wallets se moov ho raha hai,https://blinkit.pissedconsumer.com/review.html?page=6
79,PissedConsumer (consumer-complaint forum),7/11/2026,,other,general,My 2 mobile number par main dusre wale number per ID Bani *** Hai blanket ki mujhe dusre number per transfer karani Hai pahle wala number yad nahin mujhe please help me,https://blinkit.pissedconsumer.com/review.html?page=6
80,PissedConsumer (consumer-complaint forum),7/11/2026,,other,general,"Please return our order; we ordered it by mistake, thinking it was a large dryer. I have not interested further orders.",https://blinkit.pissedconsumer.com/review.html?page=6
81,PissedConsumer (consumer-complaint forum),7/11/2026,,refund_and_support,general,I have got lumps inside protein powder but customer care not responding please solve this problem {{Redacted}},https://blinkit.pissedconsumer.com/review.html?page=6
82,PissedConsumer (consumer-complaint forum),6/17/2026,,refund_and_support,personal_care_beauty,"Subject: Complaint Regarding Delivery of Expired Cosmetic Product I am extremely disappointed that *** delivered an expired concealer in my recent order. Supplying expired cosmetic products is a serious matter, as it can pose health and safety risks to consumers. This reflects negligence in quality control and customer safety standards. I have preserved the product, packaging, and proof of purchase. Despite trusting your platform for reliable service, I received a product that should never have been sold. I expect an immediate refund and a clear explanation of how this lapse occurred. If this issue is not resolved promptly and satisfactorily, I am prepared to escalate the matter by filing a complaint with the appropriate consumer grievance authorities and seeking compensation for the inconvenience and potential risk caused. I request that Blinkit treat this matter seriously and provide a resolution at the earliest.",https://blinkit.pissedconsumer.com/review.html?page=6
83,PissedConsumer (consumer-complaint forum),6/15/2026,,refund_and_support,general,"I placed a Blinkit order that was marked as cash on delivery, but I paid online through PhonePe. The payment was successfully deducted from my account. However, I did not receive the order, and I have not received any refund. I contacted Blinkit customer support multiple times, but my issue is still unresolved. This has been very frustrating. I request Blinkit to refund my money immediately and improve its customer service and payment handling process.",https://blinkit.pissedconsumer.com/review.html?page=6
84,PissedConsumer (consumer-complaint forum),6/14/2026,,refund_and_support,general,"I ordered a speaker from Bilinkit, but when I opened the package, a part was missing. There was no option on the Bilinkit platform for a refund or replacement. When I tried contacting customer care, the line was either busy or the call would get disconnected; I also sent an email but received no response.",https://blinkit.pissedconsumer.com/review.html?page=6
85,PissedConsumer (consumer-complaint forum),6/14/2026,,refund_and_support,general,"I received my order, but one item was missing from the package. I contacted customer support and shared the issue, but it has not been resolved yet. I hope Blinkit reviews my complaint properly and provides a refund for the missing item. Better quality checks before delivery can prevent such issues.",https://blinkit.pissedconsumer.com/review.html?page=6
86,PissedConsumer (consumer-complaint forum),6/13/2026,,refund_and_support,general,"I would like to return my order. The quality and quantity were both disappointing, and the product did not meet my expectations. I am not satisfied with this order and would like a refund. Unfortunately, I did not have a good experience with Blinkits service.",https://blinkit.pissedconsumer.com/review.html?page=6
87,PissedConsumer (consumer-complaint forum),6/13/2026,,refund_and_support,general,"I placed an order on Blinkit on June 7, but the delivery address was entered incorrectly, so the order was returned. I had already paid for the order online. The app shows that the refund was supposed to be processed by June 12, but I still haven't received the amount. I am also not getting any response from customer support. Please help me with the refund status.",https://blinkit.pissedconsumer.com/review.html?page=7
88,PissedConsumer (consumer-complaint forum),6/12/2026,,refund_and_support,general,"You can use this English version for your return request: I ordered a Sandwich Maker from Blinkit, but the product is not working as expected / has an issue. Therefore, I would like to return this product and request a refund or replacement. The product has been kept carefully and all original packaging is available. Kindly review my request and provide a resolution at the earliest. I can also share photos or videos if required. Thank you.",https://blinkit.pissedconsumer.com/review.html?page=7
89,PissedConsumer (consumer-complaint forum),6/12/2026,,refund_and_support,general,"Item received damaged. Item no replacement and amount received, and no response from Blinkit ***. It's a fraud company and not a customer service support. Don't order from Blinkit; if they deliver a damaged item, they won't replace it and there is no refund, and also the customer service is not supportive. If you visit nearby, there is no response.",https://blinkit.pissedconsumer.com/review.html?page=7
90,PissedConsumer (consumer-complaint forum),6/10/2026,,refund_and_support,general,"I placed an order worth approximately 4,000 on Blinkit, which was cancelled due to an incorrect delivery location. Instead of a refund, *** issued the amount as a promo code and later deactivated my account, preventing me from using it. After 8 days, I created a new account and contacted customer support multiple times, but no resolution was provided. The promo code has now expired, my old account remains inactive, and I have neither received a refund nor been given access to use the credited amount. Also 2 3 support executive are misbehaving during the communication",https://blinkit.pissedconsumer.com/review.html?page=7
91,PissedConsumer (consumer-complaint forum),6/9/2026,,refund_and_support,general,"I ordered something and they canceled my order. Now it's 10 days; I haven't received my refund. Also, I'm checking my statement. If you guys can't refund, please tell me. In the future, I can't order anything from this platform. I'm very disappointed, and also I'm waiting because when I raised my complaint, they said they would refund on 6th June, but I haven't received it yet.",https://blinkit.pissedconsumer.com/review.html?page=7
92,PissedConsumer (consumer-complaint forum),6/9/2026,,refund_and_support,general,"I would like to raise a complaint regarding the extremely unprofessional and rude behavior of your delivery executive. My bill amount was 392. I gave him 492, so he was supposed to return 100. I had also given him 92 in change. After taking the 92, he went towards the lift and left without returning my 8. As I have a fractured leg and could not come downstairs, I asked the security guard to call him back. Instead of resolving the issue professionally, he started arguing with the security staff and falsely claimed that I had called him a thief. I only requested that he return the balance amount and clarify the payment. What was even more disturbing was that he started taking photographs of my house without my permission. This is a serious violation of privacy and completely unacceptable behavior from a delivery executive. If we had not questioned the missing money, the blame could have fallen on my household staff. Customers should not have to face such behavior when raising a genuine concern. I request that you investigate this matter immediately and take appropriate action against the delivery executive. I would also like to know why a delivery executive was taking photographs of a customer's home without consent. This experience has been extremely upsetting and disappointing.",https://blinkit.pissedconsumer.com/review.html?page=7
93,PissedConsumer (consumer-complaint forum),6/9/2026,,refund_and_support,general,"Hello, I made a payment for my order, but the delivery partner says the payment was not received and asked me to pay again. As a result, I was charged twice for the same order. Please check the transaction and refund the extra amount to my original payment method as soon",https://blinkit.pissedconsumer.com/review.html?page=7
94,PissedConsumer (consumer-complaint forum),6/9/2026,,refund_and_support,personal_care_beauty,"Subject: Complaint Regarding Empty Soap Packets Received Order No. *** Dear Customer Support Team, I am writing to raise a complaint regarding my order of Wild Stone Deodorant Soap for Men. I ordered a pack of 6 soaps, but upon receiving the parcel, I found that 3 of the soap packets were empty. The order was delivered from the ***, ***. I immediately contacted the delivery person, who informed the warehouse manager about the issue. I was then advised to submit my complaint via email. However, despite reporting the matter, I have not received any response or resolution so far. This issue has caused considerable inconvenience, and I request that it be investigated urgently. Kindly arrange for a replacement of the missing 3 soaps or provide a refund for the affected items at the earliest. Order Details: Order Number: *** Order Date: 09 June 2026 Product: Wild Stone Deodorant Soap for Men (Pack of 6) Delivery Location: *** (Karvenagar Warehouse) I would appreciate your prompt attention to this matter and look forward to a quick resolution. Thank you. Yours sincerely, [Mahesh] [989078****] [***] ***, ***",https://blinkit.pissedconsumer.com/review.html?page=7
95,PissedConsumer (consumer-complaint forum),6/7/2026,,delivery_issues,general,Sar meri ID hold per kar di gai hai bike kharab hone ki vajah se order thoda let ho gaya tha is vajah Se Meri ID band kar di gai hai main blinkit ka bahut purana rider hun sar main mafi mangta hun ki aisi galti fir se nahin hogi please sar meri ID ko on kar dijiye please sir meri ID ko on kar dijiye aapki ATI kripa hogi aapka *** Karega thank u so Mach sar,https://blinkit.pissedconsumer.com/review.html?page=7
96,PissedConsumer (consumer-complaint forum),6/6/2026,,other,general,"I purchased this trimmer, but I am not satisfied with its quality. The product makes a very loud noise during use, which is quite uncomfortable. The overall performance does not meet my expectations. I would appreciate it if you could look into this issue and provide a suitable resolution.",https://blinkit.pissedconsumer.com/review.html?page=7
97,PissedConsumer (consumer-complaint forum),6/5/2026,,non_grocery_category,general,"Hello Team, I applied for a job and was contacted by a person claiming to recruit for ***. The person requested my Aadhaar card, PAN card, selfie, and also asked for a Blinkit verification OTP. I would like to verify whether this recruiter is genuinely associated with Blinkit. I can provide the recruiter's phone number, WhatsApp chats, and ID card shared with me. Please help verify this and take appropriate action if it is fraudulent. Regards, ***",https://blinkit.pissedconsumer.com/review.html?page=7
98,PissedConsumer (consumer-complaint forum),6/5/2026,,refund_and_support,general,"ordered a notebook yesterday. The notebook I received was damaged and appeared old/used. Some pages were torn and the overall condition was not satisfactory. Therefore, I returned the item. However, I have not received my refund yet. Kindly check the status of my refund and let me know when it will be credited. Order ID ORD158********",https://blinkit.pissedconsumer.com/review.html?page=7
99,PissedConsumer (consumer-complaint forum),6/4/2026,,refund_and_support,general,"Very disappointing experience with Blinkit. I received a damaged product, which was frustrating and inconvenient. The quality checks seem poor, as products should not reach customers in this condition. While the customer service team was polite and responsive, the overall experience was still disappointing because of the damaged item. I hope Blinkit improves its product handling and quality control to prevent similar issues in the future.",https://blinkit.pissedconsumer.com/review.html?page=7
100,PissedConsumer (consumer-complaint forum),6/4/2026,,other,general,"Dear Blinkit Support Team, I hope this message finds you well. My name is ***, and I am reaching out regarding an issue with a recent order I placed through the Blinkit app. I ordered one cake and made a payment via credit UPI, but the payment has not reflected in the application. I kindly request your immediate assistance in checking the status of this transaction and recovering the amount. Thank you for your prompt attention to this matter. I look forward to your response. Best regards, ***",https://blinkit.pissedconsumer.com/review.html?page=7
101,PissedConsumer (consumer-complaint forum),6/2/2026,,refund_and_support,general,"There is still a refund of 727 pending on my account. I had received a message stating that the amount would be refunded by 2 June, but I have not received it yet. The refund is still pending. Kindly look into the matter and provide an update on the status of my refund.",https://blinkit.pissedconsumer.com/review.html?page=8
102,PissedConsumer (consumer-complaint forum),6/2/2026,,other,general,"Original review updated Jun 02, 2026",https://blinkit.pissedconsumer.com/review.html?page=8
103,PissedConsumer (consumer-complaint forum),6/1/2026,,delivery_issues,general,"This kind of behavior is completely unacceptable and has caused significant distress. As a regular customer, I expect a basic standard of safety, respect, and professionalism from Blinkit's delivery staff. I request you to look into this matter immediately, identify the delivery partner involved, and take strict disciplinary action. Please update me on the steps being taken to resolve this issue. Looking forward to your prompt response.",https://blinkit.pissedconsumer.com/review.html?page=8
